2018/06/18 22:47:53 Feed Money $0.00  $10.00
2018/06/18 22:47:53 Stackers $10.00  $8.55
2018/06/18 22:47:53 Return Change $8.55  $.00
2018/06/18 22:48:38 Feed Money $0.00  $10.00
2018/06/18 22:48:38 Stackers $10.00  $08.55
2018/06/18 22:48:38 Return Change $8.55  $00.00
2018/06/18 22:49:08 Feed Money $0.00  $10.00
2018/06/18 22:49:08 Stackers $10.00  $8.55
2018/06/18 22:49:08 Return Change $8.55  $0.00
2018/06/18 22:49:56 Feed Money   $0.00    $10.00
2018/06/18 22:49:56 Potato Crisps   $10.00    $6.95
2018/06/18 22:49:56 Return Change   $6.95    $0.00
2018/06/18 22:50:56 Feed Money   $0.00   $10.00
2018/06/18 22:59:07 Feed Money   $0.00   $10.00
2018/06/18 23:09:09 Feed Money   $0.00   $10.00
2018/06/18 23:13:44 Feed Money   $0.00   $10.00
2018/06/18 23:16:07 Feed Money   $0.00   $10.00
2018/06/18 23:18:09 Feed Money   $0.00   $10.00
2018/06/18 23:18:09 Potato Crisps   $10.00   $6.95
2018/06/18 23:18:09 Return Change   $6.95   $0.00
2018/06/18 23:20:08 Feed Money   $0.00   $10.00
2018/06/18 23:20:08 Potato Crisps   $10.00   $6.95
2018/06/18 23:20:08 Return Change   $6.95   $0.00
2018/06/18 23:20:34 Feed Money   $0.00   $10.00
2018/06/18 23:20:34 Potato Crisps   $10.00   $6.95
2018/06/18 23:20:34 Return Change   $6.95   $0.00
2018/06/19 00:47:44 Feed Money   $0.00   $10.00
2018/06/19 00:48:12 Feed Money   $0.00   $10.00
2018/06/19 00:48:12 Potato Crisps   $10.00   $6.95
2018/06/19 00:50:02 Feed Money   $0.00   $10.00
2018/06/19 00:50:02 Potato Crisps   $10.00   $6.95
2018/06/19 00:50:40 Feed Money   $0.00   $10.00
2018/06/19 00:50:40 Potato Crisps   $10.00   $6.95
2018/06/19 00:52:24 Feed Money   $0.00   $10.00
2018/06/19 00:52:24 Potato Crisps   $10.00   $6.95
2018/06/19 00:52:24 Return Change   $6.95   $0.00
